_id,iz_id,um_id,broj
1,5658,78208,442
2,45523,18480,265
3,14151,16939,436
4,29426,35050,21
5,2467,97533,642
6,76841,15075,223
7,41083,28875,192
8,16573,65745,641
9,80405,45076,262
10,31045,89159,340
11,48546,90152,593
12,76680,95924,272
13,9757,12320,13
14,90002,6001,729
15,23555,33541,775
16,98893,50539,650
17,38931,49917,116
18,95865,36650,345
19,18717,22744,931
20,14158,83963,181
21,77536,11980,327
22,9457,354,850
23,2104,78707,941
24,6049,68434,828
25,92606,60475,902
26,98620,41152,850
27,58752,13905,802
28,86602,68410,307
29,21375,93747,211
30,39859,42682,47
31,48388,23262,866
32,52194,80252,45
33,796,43033,133
34,34981,53580,612
35,35338,65974,877
36,3874,73942,698
37,32021,18493,711
38,37160,11574,602
39,17438,47627,438
40,43389,11410,181
41,97002,58187,244
42,61922,81890,453
43,4388,64587,350
44,63139,55599,209
45,33116,1587,238
46,65113,47837,599
47,74784,6285,441
48,41135,1470,905
49,99987,51866,633
50,74886,89463,621
51,38530,32054,637
52,16107,19497,472
53,50946,65254,236
54,74094,33057,831
55,70158,27350,120
56,39689,89289,235
57,15635,86301,820
58,83195,36006,470
59,85266,26926,67
60,16808,82243,34
61,38476,46499,614
62,9652,18486,480
63,89267,71680,834
64,87436,31465,390
65,9516,27559,66
66,61985,80983,442
67,76092,18496,944
68,38556,12655,30
69,31669,98470,621
70,61397,58164,584
71,867,32240,810
72,96907,42456,430
73,52053,64519,930
74,70202,20401,124
75,41175,61204,356
76,18156,89865,433
77,83688,43924,344
78,20569,13261,998
79,82904,1771,612
80,95342,43519,739
81,70862,99856,123
82,8399,25391,968
83,40457,14799,772
84,83702,84416,129
85,51854,81183,188
86,48354,98566,25
87,66350,22282,334
88,98791,80103,348
89,74030,8266,119
90,362,4500,190
91,30662,98679,159
92,55290,84650,421
93,20980,72910,550
94,84586,10731,236
95,71205,57227,774
96,68226,10120,652
97,21540,54718,21
98,96760,84808,689
99,99403,79637,848
100,49615,93131,706
101,56015,39638,931
102,33609,24133,520
103,42055,43865,60
104,21578,22597,570
105,63662,37248,317
106,64522,67445,785
107,27741,74941,832
108,69171,64108,355
109,17530,7406,450
110,25710,65243,399
111,66076,4102,661
112,58680,35284,344
113,11047,64105,516
114,22847,71898,119
115,41906,43958,973
116,96795,47697,959
117,93257,82264,700
118,97550,94443,672
119,53279,58731,74
120,86905,36641,64
121,52257,1320,133
122,14206,21042,790
123,67040,37940,459
124,6147,12085,513
125,25374,62724,120
126,80022,35761,415
127,64482,74983,731
128,41807,14571,33
129,34985,46607,222
130,23785,99577,581
131,65889,10125,863
132,89599,64640,726
133,99424,66699,884
134,2969,4946,945
135,46986,5416,697
136,16927,90272,321
137,65836,50709,651
138,24322,14974,592
139,56884,92849,690
140,48659,63403,1000
141,84661,73869,97
142,86539,59821,189
143,81036,4248,307
144,13237,54730,634
145,3124,13770,274
146,1198,10636,824
147,13482,37370,395
148,29429,71283,275
149,26320,90998,202
150,34548,14792,706
151,67572,34465,469
152,78405,18393,451
153,5945,6793,662
