_id;um_id;m_id;interpretacija
1;1;5;GRTXLDTPMVZSLRRXEIEI
2;2;5;OEKXPLA
3;3;30;RHCBXXFCVSSRS
4;4;10;ARQVDKZHCUSMQ
5;5;18;EZYQHYDDIFOSWYD
6;6;45;SFKWFHUNX
7;7;5;BFVOQGYK
8;8;38;ETGUQFWZKQXTVIZM
9;9;13;MHTXYBI
10;10;29;YRPLYJQXHWNJCQCKLT
11;11;32;FTLDIWJDXVWQCIJRF
12;12;24;OMKRWDREWZMIRFEVY
13;13;50;BZQGKGYUGEZ
14;14;33;JHMRSEKBWBDSO
15;15;15;FXETAFDUJ
16;16;1;PLTYUMEIPPOOCCLN
17;17;20;HXKDU
18;18;28;LUXTYTIRWCZMBLILDYYT
19;19;44;OXJTL
20;20;45;XNGHSAA
21;21;28;IDNNBVVNZYBVE
22;22;29;PZJMHJVEIKWJRCDHTW
23;23;6;FNJIXJSWA
24;24;41;KSOTEQZICUIPJSAUNY
25;25;27;BDHYJATPCGE
26;26;22;SPHIWBFZ
27;27;48;YSCSBDOGTAWQPEGB
28;28;33;XBJOW
29;29;47;MJWKD
30;30;36;WZBAMUNUPBDXB
31;31;9;TKDEVZCGHLY
32;32;44;RGJFSJMNZLBNAKNLIC
33;33;1;ZOVMWAGOSJ
34;34;21;OOQYULRWVJOGLYNUVR
35;35;2;BOZFBDTPSVO
36;36;25;WOEJAEHBGUJRQRWL
37;37;15;PKEVXKXIL
38;38;23;SINMDBPJRMHL
39;39;25;TGLBRUMEZUPZIJZON
40;40;44;YIILJJFKJLBFALNTFS
41;41;8;QMOPLUPIQKFF
42;42;22;TLRNABI
43;43;3;QOAOKXIGTENMWBFTJ
44;44;48;CWEUNOFNVVEHJWTLUH
45;45;9;ETJJH
46;46;21;HMQOYI
47;47;3;QWGOS
48;48;13;FNPJIXU
49;49;40;HOWXK
50;50;24;AGHRJOKQKGCSROHDCT
51;51;8;XMUVUORDZIYOCMDSTD
52;52;5;PDGAZAVYKQIAR
53;53;11;CCCGQKCKGMIYETBH
54;54;30;SWBSQTTQAJUGNBMXHU
55;55;13;JCXVXJDCFKYBFLPKCN
56;56;44;QNGAULZTAOVSTM
57;57;7;KRSBOFMQYSV
58;58;41;RAXGDV
59;59;46;FIJIGRCTZT
60;60;11;YINETTVLYTI
61;61;8;IDGTALKPG
62;62;26;DHQDBUXGOOJQWYOVNPI
63;63;43;GHRFIAUGMVLHROK
64;64;40;NIUXLVAFNUE
65;65;19;ILQSOWDBKJDYAOV
66;66;36;ZKIMHOBBBMFYAGTSUY
67;67;44;WTCKBUAALITITRZRZ
68;68;29;COQTRZBBBLDZZZIB
69;69;37;NPGSTLZHYP
70;70;16;FIGJJTFW
71;71;24;YHSWZGIEKZ
72;72;5;MDXONUZIOJ
73;73;7;LJIIMOMIZMIVEEYPUIRT
74;74;46;TPIRITEYQUGDA
75;75;49;UVSVQLNFUGMAW
76;76;23;UHCBLRAQ
77;77;37;NMMOQMINLSOWKCRELH
78;78;13;NXYLFVQVHUURKZWHIT
79;79;35;TRXOM
80;80;5;NAKOAROYNZJSGW
81;81;6;MMWUHBHJGLVJAWFGAV
82;82;50;QQFGET
83;83;39;FMZWNDABRVZTE
84;84;50;XPUIOU
85;85;6;YZVJLRECNC
86;86;28;MVOBZ
87;87;24;XFEHKFMNQICCWKY
88;88;6;BVRCYFRKNEQRJUQXRU
89;89;7;KJHKSWAESOSUXC
90;90;12;ACLNSUPGTIMY
91;91;28;REHOYPSDWPDLACZWDUNK
92;92;39;GWFRRMVBNCLSATSEBEG
93;93;40;BXBJVXHTO
94;94;12;HMIAPHZDDRLPDPCHEEU
95;95;33;BEOWASKVH
96;96;14;LRQIVMLDLGPOVUFIHJL
97;97;45;JYLBYPKOIDYKDHYERM
98;98;46;XFZWHFLNNOWZPA
99;99;1;BXOPU
100;100;27;ORALIHJ
101;101;24;CDMQZURVMXX
102;102;18;YJKSGKCWYUTYPN
103;103;45;SXZTVU
104;104;29;PHVBZKTVPBGYRC
105;105;27;VFZOZNWIUSEJIPBZIQ
106;106;4;RCGGOXIGT
107;107;40;SJPQJQZEDKPCHEQBZYRO
108;108;12;JKBMHISYRHHYXFYOHNJ
109;109;20;QIPFEUSVPWM
110;110;3;JQMHHFUC
111;111;50;YOMIQ
112;112;28;XUBIQNHVLGMZXJMR
113;113;2;RPNNXKWCWVBEPSKCK
114;114;30;TETAPONI
115;115;19;TUZHXYDJCM
116;116;21;WOBQEBAHIMI
117;117;18;YFJEFJD
118;118;37;VFWJEVEHJWDPSIQSC
119;119;20;BPZDJLMFVCSZK
120;120;29;GOSPWRGOQEDLHGF
121;121;15;TDSZJHRRYPDWOIPEFW
122;122;29;JRUAOAYLR
123;123;36;BZUJMIS
124;124;47;QPIYAXHLIFGZZE
125;125;32;VJIAAHPZJDCWJCHFQW
126;126;30;GWKPE
127;127;24;PSNMLEXPJ
128;128;37;OUPDDXM
129;129;38;TLDIVODPHKFNZIHHX
130;130;43;NCVIMYV
131;131;49;FBJKNURUSJM
132;132;30;RUVUVJP
133;133;44;MCCVOJQQ
134;134;32;AAWLCNZNSG
135;135;31;BENNYRRIDVUVMV
136;136;28;ZTSLOZQZCUYCDCDSXWX
137;137;43;LQBBBETHMSX
138;138;25;FDPSFVVH
139;139;50;AVWAZXDUM
140;140;4;SPMUZ
141;141;32;WYEFTBCSLTDMQDWYKUE
142;142;32;JVUQIGBVAKCSYRS
143;143;21;FNVVYYRMLQMFUM
144;144;20;GDOTDLNSFNIHR
145;145;37;BSHWOY
146;146;25;FVPDWMZHBZ
147;147;20;GZYOPAXH
148;148;29;NCRWNRMM
149;149;7;GWUFTEXAIMHUPUBNMGQC
150;150;17;XCGAKFWGVIQFYJZSQPMR
151;151;21;KJARJIJQGCGHE
152;152;20;KASXBRIJURDZQQDY
153;153;36;TIFXNFAEUOCPJLLIGT
154;154;21;TILQMTENACEUP
155;155;44;NFYSG
156;156;35;RVGLJKKAHMKJWE
157;157;6;WDMIMHCPJPFZBCEYUN
158;158;16;QVPJQHYSXZVJRZQODB
159;159;49;MSCHTQTELACGUPN
160;160;27;FWLUTLDQ
161;161;45;RGDIRPGYTB
162;162;45;OVYGWXOBBVEUGOMTGYFM
163;163;6;XWUOJ
164;164;27;IUYXKRI
165;165;21;PXKLHLLFKLL
166;166;40;UXQCENYIQH
167;167;16;KLMULQLPBIFKE
168;168;46;CZUVDLAZKOHHVZOHVEDG
169;169;36;EYBMYQDEEOVDYZHHDRTA
170;170;37;PCZGFSIHU
171;171;39;ODTZOIE
172;172;49;SILKVRPSHJXFGUPCC
173;173;34;JCDKRBVTYL
174;174;42;DTJZKXUAXW
175;175;12;NYQXIKEA
176;176;30;KSWXMIQUDW
177;177;42;FBELFADDJHWSCYDOIT
178;178;13;BNFZUMTJYFBEA
179;179;10;SQZAHIPMFDDMUSHJB
180;180;17;JQXFEUULUV
181;181;41;UXXRONSSZRPIYBRKDFAV
182;182;33;VPYIHQIXEVMYZXLXGD
183;183;22;THDIBKHTEL
184;184;36;KZLOIRKLF
185;185;4;CPSBUVFLW
186;186;24;FFMVUUPHFDQAOFD
187;187;41;LPULXWHZLTQBD
188;188;42;HBJLWFWATDDDFCST
189;189;15;AXKECKPXREUXT
190;190;41;SPJJIBOFW
191;191;29;ATLSBROUYGWGT
192;192;30;LHKROOLABGXBDOLZ
193;193;26;LTKPROMBAH
194;194;12;QTGNKWSZSIURRF
195;195;46;LNLQUWWITRSVIBFQOG
196;196;49;ZJIGVOKIBXZORWRWDQY
197;197;25;IOIIU
198;198;35;JBQRNSLYMZEPWTZ
199;199;6;PXGAIJJWTBJYZIO
200;200;38;KZIOA
201;201;42;CUKOKTAEIEVTGLDBHRB
202;202;25;CPUOCLSHBIULYGTRUVV
203;203;16;VMFGTJZJTSLA
204;204;45;UYIFUMUXGBPCOZXAMLK
